scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
T1,-0.4551152913,-0.5482592396,-0.4681397475,-0.5069362648,-0.4692623447,0.3065505451,-0.3563584236,-0.1242707832,-0.4772659568,0.0216488981,1.0000000000,0.5618444211,-0.0861043978,0.5982111429,0.1767495114,0.0018569051,-0.2735757119,-0.0399721885,-0.2351843855,-0.1345752693,0.0747312070,0.3434754851,0.0864034021,0.5189592985,0.2287175164
T2,-0.8129189446,-0.7355057061,-0.7800986094,-0.6293206508,-0.4284208316,0.5242706203,-0.5771197316,0.2342190412,-0.2117836688,0.5516325495,0.5618444211,1.0000000000,-0.3889330203,0.5813040293,0.6673315011,0.2446909770,-0.3146723221,-0.0885969742,-0.2990270311,-0.2385251517,0.1821041692,0.3436762639,-0.0351466318,0.6603583931,0.0112135904
T3,0.3115191897,0.2506871006,0.1862035077,-0.0575299096,-0.1184338669,-0.1562194344,0.2811395407,-0.3321371886,-0.0063146548,-0.5297649252,-0.0861043978,-0.3889330203,1.0000000000,-0.1739365168,-0.5585154744,-0.4026693086,0.2378665061,0.0672552443,0.0840982501,0.4113676300,-0.0069374492,0.0821619892,0.3490269007,-0.3573189019,0.3740855795
T4,-0.6471982851,-0.6257820473,-0.5859563344,-0.4134178642,-0.2167123466,0.2414364377,-0.3823149599,0.1813772906,-0.4569487497,0.2789307920,0.5982111429,0.5813040293,-0.1739365168,1.0000000000,0.4043762769,0.3251711032,-0.4451597449,0.2712856684,-0.0306796173,-0.1638411360,-0.0516147112,0.1910838131,-0.1561824997,0.6557309737,-0.1012767869
T5,-0.6730722505,-0.5820949331,-0.5334160826,-0.3546868442,-0.0834420322,0.1601906767,-0.6328696907,0.5452831820,-0.1874656195,0.7162901152,0.1767495114,0.6673315011,-0.5585154744,0.4043762769,1.0000000000,0.5843903539,-0.3440263132,0.0747379699,-0.0259866164,-0.3328497910,-0.0034381988,-0.0023435937,-0.4147921527,0.7017109192,-0.3870419433
R1,-0.3701880963,-0.2854605911,-0.2087624379,0.0027503561,0.2507747993,-0.1564041624,-0.2575001101,0.5068283878,-0.3525643480,0.4099633354,0.0018569051,0.2446909770,-0.4026693086,0.3251711032,0.5843903539,1.0000000000,-0.3468139638,0.4367131869,0.3833214215,-0.1349032392,-0.2383057097,-0.4357292437,-0.6647244953,0.5876539813,-0.6328942390
R2,0.2406408917,0.1261307891,0.1030334156,-0.1277751732,-0.3032361064,0.1191309934,0.2191581018,-0.5052256224,0.2134866927,-0.4348224629,-0.2735757119,-0.3146723221,0.2378665061,-0.4451597449,-0.3440263132,-0.3468139638,1.0000000000,-0.2035281006,0.1716730401,0.2627226982,0.5053903578,0.1593185757,0.4855338631,-0.4065002581,0.4372270765
R3,-0.0875363770,-0.1398356995,-0.0627688617,-0.0193126710,0.2213212610,-0.1957811310,-0.0406637009,0.0913780308,-0.4172438743,-0.1061519337,-0.0399721885,-0.0885969742,0.0672552443,0.2712856684,0.0747379699,0.4367131869,-0.2035281006,1.0000000000,0.3781241062,0.0022528613,-0.1795393372,-0.1779843099,-0.2231646307,0.2696952109,-0.1936973891
R4,0.0762878051,0.1297277536,0.1112861698,0.1835384492,0.1874617227,-0.3017775608,0.2224358974,0.0848745708,-0.2115285449,-0.2236236464,-0.2351843855,-0.2990270311,0.0840982501,-0.0306796173,-0.0259866164,0.3833214215,0.1716730401,0.3781241062,1.0000000000,0.2496365225,-0.1431938733,-0.3801688485,-0.3146582989,0.0371093626,-0.3604680506
R5,0.0516784160,0.2446116693,-0.0373983526,-0.1215143790,-0.1907509999,-0.1072709992,0.4542128987,-0.1694877560,-0.0101135202,-0.3959560650,-0.1345752693,-0.2385251517,0.4113676300,-0.1638411360,-0.3328497910,-0.1349032392,0.2627226982,0.0022528613,0.2496365225,1.0000000000,0.0436525585,-0.0060571804,0.1692407316,-0.1371530253,0.1168396420
L1,-0.2056815773,-0.3073321751,-0.3411201364,-0.4557368804,-0.5162965283,0.3201588828,-0.1310167992,-0.3999969986,0.1071961944,-0.1183916355,0.0747312070,0.1821041692,-0.0069374492,-0.0516147112,-0.0034381988,-0.2383057097,0.5053903578,-0.1795393372,-0.1431938733,0.0436525585,1.0000000000,0.4744338243,0.5357191617,-0.0566017015,0.5098992226
L2,-0.2819065878,-0.4764197545,-0.4080021401,-0.5377164017,-0.5990953084,0.3960187687,-0.2782296647,-0.4132417870,-0.0565071699,-0.1707132278,0.3434754851,0.3436762639,0.0821619892,0.1910838131,-0.0023435937,-0.4357292437,0.1593185757,-0.1779843099,-0.3801688485,-0.0060571804,0.4744338243,1.0000000000,0.6844369291,-0.0040246606,0.7103777641
L3,0.0632270265,-0.1309506074,-0.1299506560,-0.4027626387,-0.5435843654,0.3612917381,0.0834729404,-0.6298929617,0.1146390389,-0.4377819531,0.0864034021,-0.0351466318,0.3490269007,-0.1561824997,-0.4147921527,-0.6647244953,0.4855338631,-0.2231646307,-0.3146582989,0.1692407316,0.5357191617,0.6844369291,1.0000000000,-0.3567350830,0.8142174947
L4,-0.7072145963,-0.6430364099,-0.6385348793,-0.4907993603,-0.2324709106,0.2382813314,-0.5025694901,0.3504926208,-0.5059179935,0.4419520475,0.5189592985,0.6603583931,-0.3573189019,0.6557309737,0.7017109192,0.5876539813,-0.4065002581,0.2696952109,0.0371093626,-0.1371530253,-0.0566017015,-0.0040246606,-0.3567350830,1.0000000000,-0.2529733692
L5,0.0597896404,-0.2120935621,-0.1406972555,-0.4163368740,-0.5463030476,0.3183998497,-0.0329086478,-0.6729745219,-0.0301706953,-0.4711513867,0.2287175164,0.0112135904,0.3740855795,-0.1012767869,-0.3870419433,-0.6328942390,0.4372270765,-0.1936973891,-0.3604680506,0.1168396420,0.5098992226,0.7103777641,0.8142174947,-0.2529733692,1.0000000000
