scene_a,scene_b,short_a,short_b,family_a,family_b,a_fc_clear,b_fc_clear,a_semantic_clear,b_semantic_clear,block24_cosine,final_cosine,final_minus_block24
scene_fc_blocked_v03,scene_fc_clear_v04,B3,C4,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9988112804778502,0.9835950403385962,-0.015216240139253934
scene_fc_blocked_v03,scene_fc_clear_v05,B3,C5,FC_BLOCKED,FC_CLEAR,False,True,False,False,0.9991262920553462,0.9956655388948927,-0.003460753160453467
scene_fc_blocked_v03,scene_lift_and_relocate_v01,B3,L1,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9977082197156734,0.9934252508243626,-0.0042829688913107455
scene_fc_blocked_v03,scene_lift_and_relocate_v02,B3,L2,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9978910530052999,0.9939695752866549,-0.003921477718645039
scene_fc_blocked_v03,scene_lift_and_relocate_v03,B3,L3,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9981040838209145,0.9896455143938933,-0.008458569427021279
scene_fc_blocked_v03,scene_lift_and_relocate_v04,B3,L4,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9986218270642904,0.9882545606782153,-0.010367266386075102
scene_fc_blocked_v03,scene_lift_and_relocate_v05,B3,L5,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9982261253542092,0.9919147865503273,-0.006311338803881905
scene_fc_blocked_v03,scene_rotate_v01,B3,R1,FC_BLOCKED,ROTATE,False,False,False,False,0.9982814188321686,0.9879462857840555,-0.010335133048113065
scene_fc_blocked_v03,scene_rotate_v02,B3,R2,FC_BLOCKED,ROTATE,False,False,False,False,0.9983409507469276,0.9825976849272903,-0.015743265819637364
scene_fc_blocked_v03,scene_rotate_v03,B3,R3,FC_BLOCKED,ROTATE,False,False,False,False,0.9987858659029105,0.9814942199271649,-0.017291645975745618
scene_fc_blocked_v03,scene_rotate_v04,B3,R4,FC_BLOCKED,ROTATE,False,False,False,False,0.998215128116719,0.9869416010282144,-0.011273527088504598
scene_fc_blocked_v03,scene_rotate_v05,B3,R5,FC_BLOCKED,ROTATE,False,False,False,False,0.9979755781988215,0.9851900543734773,-0.012785523825344258
scene_fc_blocked_v03,scene_translate_v01,B3,T1,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9976863092326004,0.9939402067888573,-0.0037461024437430712
scene_fc_blocked_v03,scene_translate_v02,B3,T2,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9984315259318902,0.991201986778387,-0.007229539153503217
scene_fc_blocked_v03,scene_translate_v03,B3,T3,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9981797999979893,0.9858552688912028,-0.012324531106786552
scene_fc_blocked_v03,scene_translate_v04,B3,T4,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9981968274860893,0.9876907520689076,-0.010506075417181737
scene_fc_blocked_v03,scene_translate_v05,B3,T5,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9984513553850283,0.9889387358560298,-0.009512619528998512
scene_fc_blocked_v04,scene_fc_blocked_v05,B4,B5,FC_BLOCKED,FC_BLOCKED,False,False,False,False,0.9984113155558909,0.9949382537753966,-0.0034730617804943353
scene_fc_blocked_v04,scene_fc_clear_v01,B4,C1,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.997954616989214,0.9798026302347256,-0.01815198675448837
scene_fc_blocked_v04,scene_fc_clear_v02,B4,C2,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9979669089903511,0.9831993373844007,-0.014767571605950436
scene_fc_blocked_v04,scene_fc_clear_v03,B4,C3,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9978758266469907,0.983890260252746,-0.013985566394244753
scene_fc_blocked_v04,scene_fc_clear_v04,B4,C4,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9980285992649236,0.981308042389071,-0.01672055687585261
scene_fc_blocked_v04,scene_fc_clear_v05,B4,C5,FC_BLOCKED,FC_CLEAR,False,True,False,False,0.9980295331338818,0.9972296013515525,-0.0007999317823292884
scene_fc_blocked_v04,scene_lift_and_relocate_v01,B4,L1,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9974671155152002,0.992919559029231,-0.004547556485969162
scene_fc_blocked_v04,scene_lift_and_relocate_v02,B4,L2,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9976779997863369,0.9947417505894127,-0.0029362491969241455
scene_fc_blocked_v04,scene_lift_and_relocate_v03,B4,L3,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9973522256368846,0.9877286952066979,-0.00962353043018671
scene_fc_blocked_v04,scene_lift_and_relocate_v04,B4,L4,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9975594260136577,0.9888949421957705,-0.008664483817887203
scene_fc_blocked_v04,scene_lift_and_relocate_v05,B4,L5,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9974138503411587,0.9921784616623999,-0.005235388678758834
scene_fc_blocked_v04,scene_rotate_v01,B4,R1,FC_BLOCKED,ROTATE,False,False,False,False,0.9973310109116744,0.9848158070418439,-0.012515203869830516
scene_fc_blocked_v04,scene_rotate_v02,B4,R2,FC_BLOCKED,ROTATE,False,False,False,False,0.997222154885811,0.9779604636005949,-0.019261691285216154
scene_fc_blocked_v04,scene_rotate_v03,B4,R3,FC_BLOCKED,ROTATE,False,False,False,False,0.997197896953636,0.978939434102587,-0.01825846285104904
scene_fc_blocked_v04,scene_rotate_v04,B4,R4,FC_BLOCKED,ROTATE,False,False,False,False,0.9972090031504391,0.9829842328685661,-0.014224770281873078
scene_fc_blocked_v04,scene_rotate_v05,B4,R5,FC_BLOCKED,ROTATE,False,False,False,False,0.9969234213194416,0.9832817505964828,-0.013641670722958743
scene_fc_blocked_v04,scene_translate_v01,B4,T1,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9966210593629383,0.9926361264905557,-0.003984932872382663
scene_fc_blocked_v04,scene_translate_v02,B4,T2,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9977389235261813,0.992869996819747,-0.004868926706434351
scene_fc_blocked_v04,scene_translate_v03,B4,T3,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9970930843018543,0.982789854059854,-0.014303230242000309
scene_fc_blocked_v04,scene_translate_v04,B4,T4,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9975855023201681,0.984562825717427,-0.013022676602741035
scene_fc_blocked_v04,scene_translate_v05,B4,T5,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9974553058579685,0.986328694189987,-0.011126611667981456
scene_fc_blocked_v05,scene_fc_clear_v01,B5,C1,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9993365473289255,0.9751958680612742,-0.024140679267651288
scene_fc_blocked_v05,scene_fc_clear_v02,B5,C2,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9991090507170749,0.9782486754605939,-0.02086037525648099
scene_fc_blocked_v05,scene_fc_clear_v03,B5,C3,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9991920523656426,0.9769051587796738,-0.022286893585968803
scene_fc_blocked_v05,scene_fc_clear_v04,B5,C4,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9992954148570998,0.9767888358940028,-0.022506578963097046
scene_fc_blocked_v05,scene_fc_clear_v05,B5,C5,FC_BLOCKED,FC_CLEAR,False,True,False,False,0.9993935680351064,0.9947403450800338,-0.0046532229550725335
scene_fc_blocked_v05,scene_lift_and_relocate_v01,B5,L1,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9981264112566126,0.9911879852978291,-0.006938425958783467
scene_fc_blocked_v05,scene_lift_and_relocate_v02,B5,L2,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9984215455494517,0.9924547322822295,-0.00596681326722226
scene_fc_blocked_v05,scene_lift_and_relocate_v03,B5,L3,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9981418416210565,0.9860752933219199,-0.012066548299136559
scene_fc_blocked_v05,scene_lift_and_relocate_v04,B5,L4,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9988675785168595,0.9911821850406579,-0.007685393476201563
scene_fc_blocked_v05,scene_lift_and_relocate_v05,B5,L5,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9986533060947337,0.9885045463847427,-0.010148759709990962
scene_fc_blocked_v05,scene_rotate_v01,B5,R1,FC_BLOCKED,ROTATE,False,False,False,False,0.9985560826753064,0.9807048974627448,-0.01785118521256157
scene_fc_blocked_v05,scene_rotate_v02,B5,R2,FC_BLOCKED,ROTATE,False,False,False,False,0.9986416673580425,0.973150522505319,-0.025491144852723524
scene_fc_blocked_v05,scene_rotate_v03,B5,R3,FC_BLOCKED,ROTATE,False,False,False,False,0.9985496996729027,0.9790455638905,-0.01950413578240273
scene_fc_blocked_v05,scene_rotate_v04,B5,R4,FC_BLOCKED,ROTATE,False,False,False,False,0.9985574662593112,0.9779072787200739,-0.020650187539237308
scene_fc_blocked_v05,scene_rotate_v05,B5,R5,FC_BLOCKED,ROTATE,False,False,False,False,0.9979494841385343,0.9790786115156588,-0.018870872622875567
scene_fc_blocked_v05,scene_translate_v01,B5,T1,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9980547803880676,0.9917163127345473,-0.006338467653520308
scene_fc_blocked_v05,scene_translate_v02,B5,T2,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9984263634000364,0.9928342038720699,-0.005592159527966545
scene_fc_blocked_v05,scene_translate_v03,B5,T3,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9980517274487242,0.9779453303124145,-0.020106397136309684
scene_fc_blocked_v05,scene_translate_v04,B5,T4,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9981123238074927,0.9834925629328695,-0.014619760874623244
scene_fc_blocked_v05,scene_translate_v05,B5,T5,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9986258760979319,0.9846135166512119,-0.014012359446719969
