scene_id,scene_family,target_id,object_id,candidate_occlusion_pixels,candidate_occlusion_ratio,truth_occludes,run_count,predicted_occlusion_count,predicted_occlusion_rate,accuracy,numbered_rgb
scene_rotate_v05,ROTATE,44,82,6522,0.70983892,True,60,0,0.0,0.0,images/numbered_rgb/scene_rotate_v05.png
scene_rotate_v05,ROTATE,44,97,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
scene_rotate_v05,ROTATE,44,99,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
scene_translate_v01,TRANSLATE,67,35,6313,0.630291534,True,60,0,0.0,0.0,images/numbered_rgb/scene_translate_v01.png
scene_translate_v02,TRANSLATE,45,81,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v02.png
scene_translate_v02,TRANSLATE,45,86,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v02.png
scene_translate_v02,TRANSLATE,45,95,2263,0.230800612,True,60,4,0.06666666666666667,0.06666666666666667,images/numbered_rgb/scene_translate_v02.png
scene_translate_v03,TRANSLATE,18,39,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v03.png
scene_translate_v03,TRANSLATE,18,41,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v03.png
scene_translate_v03,TRANSLATE,18,45,4270,0.464483846,True,60,25,0.4166666666666667,0.4166666666666667,images/numbered_rgb/scene_translate_v03.png
scene_translate_v04,TRANSLATE,13,41,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v04.png
scene_translate_v04,TRANSLATE,13,77,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v04.png
scene_translate_v04,TRANSLATE,13,84,5103,0.572727273,True,60,5,0.08333333333333333,0.08333333333333333,images/numbered_rgb/scene_translate_v04.png
scene_translate_v05,TRANSLATE,54,49,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v05.png
scene_translate_v05,TRANSLATE,54,66,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v05.png
scene_translate_v05,TRANSLATE,54,79,5350,0.524458386,True,60,20,0.3333333333333333,0.3333333333333333,images/numbered_rgb/scene_translate_v05.png
scene_translate_v05,TRANSLATE,54,82,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_translate_v05.png
