condition,resolution,name,scene_family,run_count,candidate_count,candidate_accuracy,candidate_balanced_accuracy,occlusion_recall,non_occlusion_specificity,full_output_exact_match_accuracy,any_occlusion_accuracy
C4,D8,F Qualitative D8,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C4,D8,F Qualitative D8,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C5,D4,M Numeric D4,TRANSLATE,25,70,0.8,0.72,0.44,1.0,0.44,0.44
C5,D4,M Numeric D4,ROTATE,25,105,0.8380952380952381,0.66,0.32,1.0,0.32,0.32
C5,D4,M Numeric D4,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C5,D4,M Numeric D4,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C5,D4,M Numeric D4,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C5,D8,M Numeric D8,TRANSLATE,25,70,0.7285714285714285,0.62,0.24,1.0,0.24,0.24
C5,D8,M Numeric D8,ROTATE,25,105,0.8476190476190476,0.6799999999999999,0.36,1.0,0.36,0.36
C5,D8,M Numeric D8,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C5,D8,M Numeric D8,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C5,D8,M Numeric D8,FC_BLOCKED,25,75,0.9466666666666667,,,0.9466666666666667,0.84,0.84
C6,D4,M Qualitative D4,TRANSLATE,25,70,0.7285714285714285,0.62,0.24,1.0,0.24,0.24
C6,D4,M Qualitative D4,ROTATE,25,105,0.8571428571428571,0.7,0.4,1.0,0.4,0.4
C6,D4,M Qualitative D4,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C6,D4,M Qualitative D4,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C6,D4,M Qualitative D4,FC_BLOCKED,25,75,0.9866666666666667,,,0.9866666666666667,0.96,0.96
C6,D8,M Qualitative D8,TRANSLATE,25,70,0.7285714285714285,0.62,0.24,1.0,0.24,0.24
C6,D8,M Qualitative D8,ROTATE,25,105,0.8666666666666667,0.72,0.44,1.0,0.44,0.44
C6,D8,M Qualitative D8,LIFT_AND_RELOCATE,25,120,0.7666666666666667,0.49894736842105264,0.04,0.9578947368421052,0.0,0.04
C6,D8,M Qualitative D8,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C6,D8,M Qualitative D8,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
